algorithm,n,time
ternary_search,10000,2e-07
fib_search,10000,2e-07
interpolation_search,10000,1e-07
linear_search,9500,2.02e-05
binary_search,9500,3e-07
ternary_search,9500,3e-07
fib_search,9500,3e-07
interpolation_search,9500,2e-07
linear_search,9000,2.93e-05
binary_search,9000,3e-07
ternary_search,9000,3e-07
fib_search,9000,3e-07
interpolation_search,9000,2e-07
linear_search,8500,1.9e-05
binary_search,8500,7e-07
ternary_search,8500,6e-07
fib_search,8500,5e-07
interpolation_search,8500,2e-07
linear_search,8000,3.15e-05
binary_search,8000,7e-07
ternary_search,8000,7e-07
fib_search,8000,4e-07
interpolation_search,8000,2e-07
linear_search,7500,3.56e-05
binary_search,7500,9e-07
ternary_search,7500,4e-07
fib_search,7500,6e-07
interpolation_search,7500,2e-07
linear_search,7000,1.75e-05
binary_search,7000,6e-07
ternary_search,7000,4e-07
fib_search,7000,6e-07
interpolation_search,7000,3e-07
linear_search,6500,1.51e-05
binary_search,6500,5e-07
ternary_search,6500,4e-07
fib_search,6500,4e-07
interpolation_search,6500,2e-07
linear_search,6000,5.9e-06
binary_search,6000,8e-07
ternary_search,6000,8e-07
fib_search,6000,7e-07
interpolation_search,6000,4e-07
linear_search,5500,2.1e-06
binary_search,5500,5e-07
ternary_search,5500,3e-07
fib_search,5500,7e-07
interpolation_search,5500,3e-07
linear_search,5000,8e-07
binary_search,5000,1.2e-06
ternary_search,5000,4e-07
fib_search,5000,4e-07
interpolation_search,5000,2e-07
linear_search,4500,2.9e-06
binary_search,4500,9e-07
ternary_search,4500,2e-07
fib_search,4500,1.1e-06
interpolation_search,4500,2e-07
linear_search,4000,1.03e-05
binary_search,4000,8e-07
ternary_search,4000,5e-07
fib_search,4000,6e-07
interpolation_search,4000,3e-07
linear_search,3500,3.6e-06
binary_search,3500,5e-07
ternary_search,3500,3e-07
fib_search,3500,4e-07
interpolation_search,3500,2e-07
linear_search,3000,3.3e-06
binary_search,3000,6e-07
ternary_search,3000,4e-07
fib_search,3000,5e-07
interpolation_search,3000,3e-07
linear_search,2500,3e-07
binary_search,2500,3e-07
ternary_search,2500,3e-07
fib_search,2500,3e-07
interpolation_search,2500,2e-07
linear_search,2000,3e-07
binary_search,2000,3e-07
ternary_search,2000,2e-07
fib_search,2000,2e-07
interpolation_search,2000,2e-07
linear_search,1500,2.1e-06
binary_search,1500,2e-07
ternary_search,1500,1e-07
fib_search,1500,2e-07
interpolation_search,1500,1e-07
linear_search,1000,1.6e-06
binary_search,1000,2e-07
ternary_search,1000,2e-07
fib_search,1000,3e-07
interpolation_search,1000,2e-07
linear_search,500,1.1e-06
binary_search,500,2e-07
ternary_search,500,2e-07
fib_search,500,3e-07
interpolation_search,500,2e-07
